1,AW00011000,Jon Yang,55,50 And Above,2013-05-03,160,3,8,8,8249,2749,294,28,New
2,AW00011001,Eugene Huang,50,50 And Above,2013-12-10,153,3,11,10,6384,2128,182,35,New
3,AW00011002,Ruben Torres,55,50 And Above,2013-02-23,163,3,4,4,8114,2704,324,25,New
4,AW00011003,Christy Zhu,53,50 And Above,2013-05-10,160,3,9,9,8139,2713,280,29,New
5,AW00011004,Elizabeth Johnson,47,40-49,2013-05-01,160,3,6,6,8196,2732,292,28,New
6,AW00011005,Julio Ruiz,50,50 And Above,2013-05-02,160,3,6,6,8121,2707,280,29,New
7,AW00011006,Janet Alvarez,50,50 And Above,2013-05-14,160,3,5,5,8119,2706,289,28,New
8,AW00011007,Marco Mehta,57,50 And Above,2013-03-19,162,3,8,8,8211,2737,315,26,New
9,AW00011008,Rob Verhoff,51,50 And Above,2013-03-02,162,3,7,7,8106,2702,311,26,New
10,AW00011009,Shannon Carlson,57,50 And Above,2013-05-09,160,3,5,5,8091,2697,288,28,New
11,AW00011010,Jacquelyn Suarez,57,50 And Above,2013-05-23,160,3,4,4,8088,2696,288,28,New
12,AW00011011,Curtis Lu,57,50 And Above,2013-03-19,162,3,4,4,8133,2711,301,27,New
13,AW00011012,Lauren Walker,47,40-49,2013-10-15,155,2,5,5,81,40,11,7,Regular
14,AW00011013,Ian Jenkins,47,40-49,2014-01-21,152,2,5,5,114,57,12,9,Regular
15,AW00011014,Sydney Bennett,53,50 And Above,2013-04-30,161,2,6,5,138,69,138,1,Regular
16,AW00011015,Chloe Young,42,40-49,2013-01-18,164,1,3,3,2501,2501,0,0,Regular
17,AW00011016,Wyatt Hill,42,40-49,2013-02-09,163,1,3,3,2332,2332,0,0,Regular
18,AW00011017,Shannon Wang,77,50 And Above,2013-10-14,155,3,4,4,6434,2144,194,33,New
19,AW00011018,Clarence Rai,71,50 And Above,2013-10-24,155,3,7,7,6533,2177,197,33,New
20,AW00011019,Luke Lal,43,40-49,2014-01-12,152,17,33,20,880,51,80,11,Regular
21,AW00011020,Jordan King,42,40-49,2012-12-29,165,1,2,2,2317,2317,0,0,Regular
22,AW00011021,Destiny Wilson,42,40-49,2013-01-23,164,1,3,3,2372,2372,0,0,Regular
23,AW00011022,Ethan Zhang,42,40-49,2013-01-20,164,1,2,2,2322,2322,0,0,Regular
24,AW00011023,Seth Edwards,42,40-49,2014-01-14,152,2,6,6,122,61,11,11,Regular
25,AW00011024,Russell Xie,42,40-49,2013-07-26,158,2,6,5,56,28,56,1,Regular
26,AW00011025,Alejandro Beck,75,50 And Above,2013-10-25,155,3,6,6,6577,2192,199,33,New
27,AW00011026,Harold Sai,75,50 And Above,2013-10-15,155,3,7,7,6575,2191,199,33,New
28,AW00011027,Jessie Zhao,74,50 And Above,2013-10-24,155,3,9,9,6591,2197,199,33,New
29,AW00011028,Jill Jimenez,75,50 And Above,2013-10-07,155,3,5,5,6474,2158,196,33,New
30,AW00011029,Jimmy Moreno,74,50 And Above,2013-11-11,154,3,7,7,6565,2188,193,34,New
31,AW00011030,Bethany Yuan,68,50 And Above,2013-11-09,154,3,4,4,6471,2157,196,33,New
32,AW00011031,Theresa Ramos,73,50 And Above,2013-11-13,154,3,6,6,6478,2159,196,33,New
33,AW00011032,Denise Stone,74,50 And Above,2013-11-08,154,3,10,10,6525,2175,197,33,New
34,AW00011033,Jaime Nath,68,50 And Above,2013-11-05,154,3,7,7,6495,2165,196,33,New
35,AW00011034,Ebony Gonzalez,74,50 And Above,2013-11-10,154,3,4,4,6491,2163,196,33,New
36,AW00011035,Wendy Dominguez,73,50 And Above,2013-11-15,154,3,5,5,6451,2150,195,33,New
37,AW00011036,Jennifer Russell,42,40-49,2013-01-22,164,1,2,2,2355,2355,0,0,Regular
38,AW00011037,Chloe Garcia,43,40-49,2013-01-20,164,1,7,7,2374,2374,0,0,Regular
39,AW00011038,Diana Hernandez,73,50 And Above,2013-11-12,154,3,3,3,6437,2145,195,33,New
40,AW00011039,Marc Martin,72,50 And Above,2013-11-11,154,3,9,8,6636,2212,201,33,New
41,AW00011040,Jesse Murphy,43,40-49,2013-04-03,161,1,3,3,2351,2351,0,0,Regular
42,AW00011041,Amanda Carter,43,40-49,2013-01-14,164,1,3,3,2381,2381,0,0,Regular
43,AW00011042,Megan Sanchez,44,40-49,2013-10-17,155,2,3,3,3112,1556,345,9,Regular
44,AW00011043,Nathan Simmons,45,40-49,2013-08-18,157,2,3,3,48,24,16,3,Regular
45,AW00011044,Adam Flores,72,50 And Above,2013-11-08,154,3,7,7,6515,2171,197,33,New
